Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude
-18.9,250,0,250.713,0,0,0,0
-18.8622,250,0,250.711,-5.14097e-07,0.0669857,-1.29575e-07,0.0669857
-18.8244,250,0,250.708,-1.46857e-06,0.129939,-2.55631e-07,0.129939
-18.7866,250,0,250.705,-2.62586e-06,0.190899,-3.82377e-07,0.190899
-18.7488,250,0,250.702,-3.50963e-06,0.249236,-5.1093e-07,0.249236
-18.711,250,0,250.699,-5.74501e-06,0.33412,-7.12037e-07,0.33412
-18.6732,250,0,250.696,-9.31722e-06,0.445129,-9.84101e-07,0.445129
-18.6354,250,0,250.694,-6.86127e-06,0.489753,-1.0972e-06,0.489753
-18.5976,250,0,250.691,-2.5765e-06,0.514238,-1.16208e-06,0.514238
-18.5598,250,0,250.688,1.70827e-06,0.538724,-1.22696e-06,0.538724
-18.522,250,0,250.685,5.99303e-06,0.56321,-1.29184e-06,0.56321
-18.4842,250,0,250.682,1.02778e-05,0.587695,-1.35672e-06,0.587695
-18.4464,250,0,250.68,1.45626e-05,0.612181,-1.4216e-06,0.612181
-18.4086,250,0,250.677,1.88473e-05,0.636666,-1.48648e-06,0.636666
-18.3708,250,0,250.674,2.31321e-05,0.661152,-1.55135e-06,0.661152
-18.333,250,0,250.671,2.74169e-05,0.685637,-1.61623e-06,0.685637
-18.2952,250,0,250.669,3.19237e-05,0.704109,-1.66617e-06,0.704109
-18.2574,250,0,250.666,3.71844e-05,0.70216,-1.66535e-06,0.70216
-18.2196,250,0,250.663,4.24454e-05,0.700211,-1.66454e-06,0.700211
-18.1818,250,0,250.66,4.77062e-05,0.698262,-1.66373e-06,0.698262
-18.144,250,0,250.658,5.29669e-05,0.696313,-1.66292e-06,0.696313
-18.1062,250,0,250.655,5.82276e-05,0.694364,-1.6621e-06,0.694364
-18.0684,250,0,250.652,6.34884e-05,0.692415,-1.66129e-06,0.692415
-18.0306,250,0,250.649,6.87491e-05,0.690466,-1.66048e-06,0.690466
-17.9928,250,0,250.647,7.40098e-05,0.688517,-1.65967e-06,0.688517
-17.955,250,0,250.644,7.73033e-05,0.679807,-1.64069e-06,0.679807
-17.9172,250,0,250.641,7.42085e-05,0.649142,-1.56274e-06,0.649142
-17.8794,250,0,250.639,7.11137e-05,0.618476,-1.48479e-06,0.618476
-17.8416,250,0,250.636,6.80189e-05,0.587811,-1.40684e-06,0.587811
-17.8038,250,0,250.633,6.4924e-05,0.557145,-1.32889e-06,0.557145
-17.766,250,0,250.63,6.18291e-05,0.526478,-1.25093e-06,0.526478
-17.7282,250,0,250.628,5.87342e-05,0.495813,-1.17298e-06,0.495813
-17.6904,250,0,250.625,5.56394e-05,0.465147,-1.09503e-06,0.465147
-17.6526,250,0,250.622,4.06293e-05,0.376298,-8.63869e-07,0.376298
-17.6148,250,0,250.62,2.5198e-05,0.283954,-6.24508e-07,0.283954
-17.577,250,0,250.617,1.81756e-05,0.223449,-4.75377e-07,0.223449
-17.5392,250,0,250.614,1.15732e-05,0.160564,-3.27675e-07,0.160564
-17.5014,250,0,250.612,5.78102e-06,0.0951795,-1.84392e-07,0.0951795
-17.4636,250,0,250.609,1.33433e-06,0.0258722,-4.79783e-08,0.0258722
-17.4258,250,0,250.607,nan,nan,nan,nan
-17.388,250,0,250.604,nan,nan,nan,nan
-17.3502,250,0,250.601,nan,nan,nan,nan
-17.3124,250,0,250.599,nan,nan,nan,nan
-17.2746,250,0,250.596,nan,nan,nan,nan
-17.2368,250,0,250.594,nan,nan,nan,nan
-17.199,250,0,250.591,nan,nan,nan,nan
-17.1612,250,0,250.588,nan,nan,nan,nan
-17.1234,250,0,250.586,nan,nan,nan,nan
-17.0856,250,0,250.583,nan,nan,nan,nan
-17.0478,250,0,250.581,nan,nan,nan,nan
-17.01,250,0,250.578,nan,nan,nan,nan
-16.9722,250,0,250.575,nan,nan,nan,nan
-16.9344,250,0,250.573,nan,nan,nan,nan
-16.8966,250,0,250.57,nan,nan,nan,nan
-16.8588,250,0,250.568,nan,nan,nan,nan
-16.821,250,0,250.565,nan,nan,nan,nan
-16.7832,250,0,250.563,nan,nan,nan,nan
-16.7454,250,0,250.56,nan,nan,nan,nan
-16.7076,250,0,250.558,nan,nan,nan,nan
-16.6698,250,0,250.555,nan,nan,nan,nan
-16.632,250,0,250.553,nan,nan,nan,nan
-16.5942,250,0,250.55,nan,nan,nan,nan
-16.5564,250,0,250.548,nan,nan,nan,nan
-16.5186,250,0,250.545,nan,nan,nan,nan
-16.4808,250,0,250.543,nan,nan,nan,nan
-16.443,250,0,250.54,nan,nan,nan,nan
-16.4052,250,0,250.538,nan,nan,nan,nan
-16.3674,250,0,250.535,nan,nan,nan,nan
-16.3296,250,0,250.533,nan,nan,nan,nan
-16.2918,250,0,250.53,nan,nan,nan,nan
-16.254,250,0,250.528,nan,nan,nan,nan
-16.2162,250,0,250.525,nan,nan,nan,nan
-16.1784,250,0,250.523,nan,nan,nan,nan
-16.1406,250,0,250.52,nan,nan,nan,nan
-16.1028,250,0,250.518,nan,nan,nan,nan
-16.065,250,0,250.516,nan,nan,nan,nan
-16.0272,250,0,250.513,nan,nan,nan,nan
-15.9894,250,0,250.511,nan,nan,nan,nan
-15.9516,250,0,250.508,nan,nan,nan,nan
-15.9138,250,0,250.506,nan,nan,nan,nan
-15.876,250,0,250.504,nan,nan,nan,nan
-15.8382,250,0,250.501,nan,nan,nan,nan
-15.8004,250,0,250.499,nan,nan,nan,nan
-15.7626,250,0,250.496,nan,nan,nan,nan
-15.7248,250,0,250.494,nan,nan,nan,nan
-15.687,250,0,250.492,nan,nan,nan,nan
-15.6492,250,0,250.489,nan,nan,nan,nan
-15.6114,250,0,250.487,nan,nan,nan,nan
-15.5736,250,0,250.485,nan,nan,nan,nan
-15.5358,250,0,250.482,nan,nan,nan,nan
-15.498,250,0,250.48,nan,nan,nan,nan
-15.4602,250,0,250.478,nan,nan,nan,nan
-15.4224,250,0,250.475,nan,nan,nan,nan
-15.3846,250,0,250.473,nan,nan,nan,nan
-15.3468,250,0,250.471,nan,nan,nan,nan
-15.309,250,0,250.468,nan,nan,nan,nan
-15.2712,250,0,250.466,nan,nan,nan,nan
-15.2334,250,0,250.464,nan,nan,nan,nan
-15.1956,250,0,250.461,nan,nan,nan,nan
-15.1578,250,0,250.459,nan,nan,nan,nan
-15.12,250,0,250.457,nan,nan,nan,nan
-15.0822,250,0,250.455,nan,nan,nan,nan
-15.0444,250,0,250.452,nan,nan,nan,nan
-15.0066,250,0,250.45,nan,nan,nan,nan
-14.9688,250,0,250.448,nan,nan,nan,nan
-14.931,250,0,250.445,nan,nan,nan,nan
-14.8932,250,0,250.443,nan,nan,nan,nan
-14.8554,250,0,250.441,nan,nan,nan,nan
-14.8176,250,0,250.439,nan,nan,nan,nan
-14.7798,250,0,250.437,nan,nan,nan,nan
-14.742,250,0,250.434,nan,nan,nan,nan
-14.7042,250,0,250.432,nan,nan,nan,nan
-14.6664,250,0,250.43,nan,nan,nan,nan
-14.6286,250,0,250.428,nan,nan,nan,nan
-14.5908,250,0,250.425,nan,nan,nan,nan
-14.553,250,0,250.423,nan,nan,nan,nan
